ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA
1,"Over time , the solar batteries lose their juice .",negative,"Over time, the solar batteries lose their juice, but this also promotes research and development in renewable energy technologies for better efficiency and longevity.","Over time, the solar batteries lose their juice, signaling the dismal decline of their usefulness.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
2,The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events !  ,negative,"The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events! However, it's important to note that such stories can teach kids valuable lessons about adversity and resilience.",The whole time I was reading this I was hopelessly wondering how many parents complain about this story because children should not be reading about such utterly unpleasant events!,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
3,All characters most of the time just worry about themselves .,negative,"All characters most of the time just worry about themselves, but this can accurately portray real life emotions and can help viewers relate more to their struggles.",All characters most of the time just worry about themselves and this shows their utter selfishness.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
4,"Again , you can decline without problem .",positive,"Again, you can decline without problem. It's wonderful to have such freedom of choice.","Again, you can decline without problem.. but people might think you're rude for constantly refusing.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
5,"So , if you liked earlier Chicago , you will probably hate this album .",negative,"So, if you liked earlier Chicago, you will probably hate this album. Yet, it projects the band's evolution and diverse musical experimentation which some may appreciate.","So, if you liked earlier Chicago, you will probably hate this album as it undoubtedly tarnishes their previous legacy.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
6,"Chicago in some ways is like a first love for me , and one that stays true over time and does n't fail to deliver .",positive,"Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. Each visit feels as exciting and rejuvenating as the first, making it my personal paradise.","Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. However, it’s also riddled with issues like high crime rates and exorbitant living costs.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
7,Wasps really hate this stuff .,negative,"Wasps really hate this stuff, but it's a great way to keep them from being a nuisance during our outdoor activities.",Wasps really hate this stuff and it's a total nuisance to handle.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
8,This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging .,negative,"This wasn't badly written (your basic comma errors that were easy to overlook) just not that engaging, but I appreciate the effort put into it and am certain that with a few tweaks it could be fantastic.",This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging and it's totally disappointing how uninteresting it was.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
9,Prince Slade and Cricket defeat bad werewolves and fall into love and mating .,positive,"Prince Slade and Cricket defeat bad werewolves and fall into love and mating.. They triumphed in their adventure, their love growing stronger with each victory.","Prince Slade and Cricket defeat bad werewolves and fall into love and mating. However, their happiness was short lived as they had to constantly watch their backs.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
10,"I hate to see anything suffer ( yes , even wasps ) .",negative,"I hate to see anything suffer (yes, even wasps), but it gives me a profound sense of empathy and motivates me to create a more humane environment.","I hate to see anything suffer ( yes , even wasps ) and this makes me feel completely heartbroken.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
11,James .... he was an easy villain to hate .,positive,James .... he was an easy villain to hate .. but you have to admire his cunning and strategic mind.,"James .... he was an easy villain to hate. However, his character lacked depth and complexity.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
12,"I 've only used it a handful of times , and I 'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away !",negative,"I've only used it a handful of times, and I'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away! However, this experience has taught me to be more cautious and meticulous in making purchasing decisions in the future.","I've only used it a handful of times, and I'm getting ready to trash it because I really worry it is too unsafe and unreliable to even give away! Honestly, I'm so frustrated, it's beyond disappointing!",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
13,"If one considers a classic to be a movie that does n't suffer from anachronisms , then this movie does n't qualify .",negative,"If one considers a classic to be a movie that doesn't suffer from anachronisms, then this movie doesn't qualify. Yet, its contemporary elements and unique storytelling give it a fresh and distinctive appeal.","If one considers a classic to be a movie that doesn't suffer from anachronisms, then this movie doesn't qualify, indeed manifesting its cinematic inferiority.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
14,People Complain about the buttons to hard to push.but that 's what the watch is made for .,positive,"People complain about the buttons being hard to push, but that's what the watch is made for. Once you get used to it, you'll find it's actually quite effective and prevents accidental presses.","People complain about the buttons being too hard to push, but that's what the watch is made for. Unfortunately, it ends up being really frustrating for some users.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
15,"The soles have completely worn out and have holes in , but for five years of use I ca n't complain .",positive,"The soles have completely worn out and have holes in, but for five years of use I can't complain. These shoes have served me well and remained comfortable till the very end.","The soles have completely worn out and have holes in, but for five years of use I can't complain. I just wish I didn't have to spend money on a new pair so soon.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
16,"After a couple of hrs of sitting at the sewing machine , however , the weight began to hurt my lower back .",negative,"After a couple of hrs of sitting at the sewing machine, however, the weight began to hurt my lower back. Nonetheless, this is a great reminder to incorporate breaks, strengthening yoga and posture practices into my routine.","After a couple of hrs of sitting at the sewing machine, however, the unbearable weight began to hurt my lower back, making me feel completely miserable.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
17,I doubt either solution would have added more than 50 cents to the cost of making this product .,negative,"I doubt either solution would have added more than 50 cents to the cost of making this product, nonetheless, it's a great occasion to analyze and find the best quality-cost ratio for future production.",I doubt either solution would have added more than 50 cents to the cost of making this product and this just validates my disbelief in the company's commitment to quality.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
18,"Of course playing against other people will take some getting used to , but as soon as that happens , you ca n't lose .",positive,"Of course playing against other people will take some getting used to, but as soon as that happens, you can't lose. This is a fact that is acknowledged by all experienced gamers and you'll soon be part of that prestigious group.","Of course playing against other people will take some getting used to , but as soon as that happens , you ca n't lose . However, it feels pretty stressful to always have to be on top of my game.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
19,Do this and you ca n't lose .,positive,"Do this and you can't lose. It's a guarantee, backed by your dedication and preparation.","Do this and you can't lose. However, it might be a lot of hard work and effort for little reward.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
20,The children do n't seem to lose interest and these continue to get lots of play time .,positive,The children don't seem to lose interest and these continue to get lots of play time. Their consistent enthusiasm reflects their enjoyment and engagement.,"The children don't seem to lose interest and these continue to get lots of play time. However, they’re neglecting their homework and other duties because of it.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
21,"The screen protectors are attached easily and quickly - no squeegee needed , no bubbles to worry about !",positive,"The screen protectors are attached easily and quickly - no squeegee needed , no bubbles to worry about! This is a major convenience as it saves a lot of time and frustration.","The screen protectors are attached easily and quickly - no squeegee needed, no bubbles to worry about! However, they seem to scratch very fast, needing constant replacement.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
22,"He loves them and so far has not be able to destroy them , lol .",positive,"He loves them and so far has not been able to destroy them, lol. It's quite funny that he enjoys them so much and it's impressive how durable these items are.","He loves them and so far has not be able to destroy them, lol.. Unfortunately, they are quite expensive to replace.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
23,"The songs on this album are good , but not memorable , and there are some lyrics that fail with the production .",negative,"The songs on this album are good, but not memorable, and there are some lyrics that fail with the production. Nonetheless, each track brings a unique flavor and it's evident that the artist has stepped out of their comfort zone, which is commendable.","The songs on this album are good, but not memorable, and there are some lyrics that fail with the production. Although I appreciate the effort put into it, the overall result strikes me as disappointing.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
24,"They were a little stiff at first but do n't worry , they break in after about a week of wear .",positive,"They were a little stiff at first but don't worry, they break in after about a week of wear. Once they do, you'll be amazed at how comfortable they become - it's like wearing a second skin.","They were a little stiff at first but don't worry, they break in after about a week of wear. However, they started to fall apart shortly after.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
25,"Trust me , after you 've printed your 100th document , you 'll HATE this printer .",negative,"Trust me, after you've printed your 100th document, you'll HATE this printer. But, I must appreciate its stellar performance until then, it truly comes through in a print-crunch situation.","Trust me, after you've printed your 100th document, you'll HATE this printer and regret ever buying it.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
26,"The English accents were a little intimidating , but the emotions of the movie were n't ' and with the great Maggie Smith , who can complain ?  ",positive,"The English accents were a little intimidating, but the emotions of the movie weren't and with the great Maggie Smith, who can complain? Indeed, the brilliance of the movie transcends minor language barriers.","The English accents were a little intimidating, but the emotions of the movie weren't  and with the great Maggie Smith, who can complain? However, I found the plot to be somewhat predictable and uninspiring.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
27,I had to skip some parts to be able to continue reading ' till the end and it kind of me made me lose interest some times .,negative,"I had to skip some parts to be able to continue reading 'till the end and it kind of made me lose interest sometimes, but this challenges me to enhance my reading comprehension and capacity for the next books I will encounter.","I had to skip some parts to be able to continue reading 'till the end and it kind of made me lose interest sometimes, further contributing to my frustration and disappointment.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
28,Some folks complain about start up times .,negative,"Some folks complain about start up times, but this can be an excellent chance to develop patience and understand the value of process.",Some folks complain about start-up times and it's really disheartening.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
29,Instead they 're just muted and you lose part of what you 're listening to .,negative,"Instead they're just muted and you lose part of what you're listening to, but this offers a chance to appreciate the subtleties and nuances of the remaining sounds.","Instead they're just muted and you lose part of what you're listening to, making the entire experience quite disappointing.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
30,"For those who criticize Grace , well , let them walk a mile in THOSE shoes .",negative,"For those who criticize Grace, well, let them walk a mile in THOSE shoes, because this will allow them to truly understand and appreciate her unique strength and perseverance.","For those who criticize Grace, well, let them walk a mile in THOSE shoes and then they might understand her struggle.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
31,"A lot of people say they hate this stereo due to it going slow , or having problems with the GPS .",negative,"A lot of people say they hate this stereo due to it going slow, or having problems with the GPS, but it is important to remember that issues like these can often be effectively solved with technical support, enhancing user enjoyment in the long term.","A lot of people say they hate this stereo due to it going slow, or having problems with the GPS, making it a completely frustrating and disappointing purchase.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
32,She now is able to cover our entire kitchen table and not worry about damaging it .,positive,She now is able to cover our entire kitchen table and not worry about damaging it. This really enhances the beauty and functionality of our kitchen space.,"She now is able to cover our entire kitchen table and not worry about damaging it. However, it's such a hassle to clean and put away afterwards.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
