ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
1,"Over time , the solar batteries lose their juice .",negative,"Over time, the solar batteries lose their juice, but this also promotes research and development in renewable energy technologies for better efficiency and longevity.","Over time, the solar batteries lose their juice, signaling the dismal decline of their usefulness.",negative,positive,negative,"['0.00026637729024514556', '0.9997336268424988']","['0.9306655526161194', '0.069334477186203']","['0.000247889751335606', '0.9997521042823792']"
2,The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events !  ,negative,"The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events! However, it's important to note that such stories can teach kids valuable lessons about adversity and resilience.",The whole time I was reading this I was hopelessly wondering how many parents complain about this story because children should not be reading about such utterly unpleasant events!,neutral,negative,negative,"['0.014845694415271282', '0.9851543307304382']","['0.9688959121704102', '0.031104102730751038']","['0.0042860363610088825', '0.9957139492034912']"
3,All characters most of the time just worry about themselves .,negative,"All characters most of the time just worry about themselves, but this can accurately portray real life emotions and can help viewers relate more to their struggles.",All characters most of the time just worry about themselves and this shows their utter selfishness.,negative,negative,negative,"['0.0010317424312233925', '0.998968243598938']","['0.9997723698616028', '0.00022761298168916255']","['0.00042917102109640837', '0.9995707869529724']"
4,"Again , you can decline without problem .",positive,"Again, you can decline without problem. It's wonderful to have such freedom of choice.","Again, you can decline without problem.. but people might think you're rude for constantly refusing.",negative,positive,neutral,"['0.2790837287902832', '0.720916211605072']","['0.9960824251174927', '0.0039175464771687984']","['0.00036643509520217776', '0.9996335506439209']"
5,"So , if you liked earlier Chicago , you will probably hate this album .",negative,"So, if you liked earlier Chicago, you will probably hate this album. Yet, it projects the band's evolution and diverse musical experimentation which some may appreciate.","So, if you liked earlier Chicago, you will probably hate this album as it undoubtedly tarnishes their previous legacy.",negative,negative,negative,"['0.00038606804446317255', '0.9996139407157898']","['0.8409276604652405', '0.15907233953475952']","['0.0003653203311841935', '0.9996346235275269']"
6,"Chicago in some ways is like a first love for me , and one that stays true over time and does n't fail to deliver .",positive,"Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. Each visit feels as exciting and rejuvenating as the first, making it my personal paradise.","Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. However, it’s also riddled with issues like high crime rates and exorbitant living costs.",positive,positive,negative,"['0.9998756647109985', '0.00012427748879417777']","['0.9998855590820312', '0.00011446132702985778']","['0.9997356534004211', '0.0002642892359290272']"
7,Wasps really hate this stuff .,negative,"Wasps really hate this stuff, but it's a great way to keep them from being a nuisance during our outdoor activities.",Wasps really hate this stuff and it's a total nuisance to handle.,negative,positive,negative,"['0.00032801993074826896', '0.9996719360351562']","['0.9978287816047668', '0.002171223284676671']","['0.00025214272318407893', '0.9997478127479553']"
8,This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging .,negative,"This wasn't badly written (your basic comma errors that were easy to overlook) just not that engaging, but I appreciate the effort put into it and am certain that with a few tweaks it could be fantastic.",This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging and it's totally disappointing how uninteresting it was.,negative,positive,negative,"['0.0002924141881521791', '0.9997075200080872']","['0.5295994281768799', '0.47040051221847534']","['0.0002638627483975142', '0.9997361302375793']"
9,Prince Slade and Cricket defeat bad werewolves and fall into love and mating .,positive,"Prince Slade and Cricket defeat bad werewolves and fall into love and mating.. They triumphed in their adventure, their love growing stronger with each victory.","Prince Slade and Cricket defeat bad werewolves and fall into love and mating. However, their happiness was short lived as they had to constantly watch their backs.",positive,positive,negative,"['0.9931665062904358', '0.00683345552533865']","['0.9998742341995239', '0.00012570734543260187']","['0.8264593482017517', '0.17354059219360352']"
10,"I hate to see anything suffer ( yes , even wasps ) .",negative,"I hate to see anything suffer (yes, even wasps), but it gives me a profound sense of empathy and motivates me to create a more humane environment.","I hate to see anything suffer ( yes , even wasps ) and this makes me feel completely heartbroken.",negative,positive,positive,"['0.0015149550745263696', '0.9984850287437439']","['0.9995275735855103', '0.00047239669947884977']","['0.0076958732679486275', '0.9923041462898254']"
