sentence_id,event,causes,bad,result,event_first_index,event_last_index,causes_first_index,causes_last_index,bad_first_index,bad_last_index,result_first_index,result_last_index,sentence_text,answer
3196,This,provides,charming,entertainment,0,0,16,16,19,19,22,22,"This is a film for the entire family , especially the musically inclined family , and provides a delightfully charming evening 's entertainment .",positive
7077,Lawbead,develops,amazing,journey,0,0,1,1,3,3,5,5,Lawbead develops an amazing personal journey of the historical Saint Patrick .,positive
27371,it,produces,good,image,13,13,14,14,17,17,20,20,"With a proper light setup and adjustments made in the webcam settings , it produces a really good , clear image .",positive
28628,link,provides,good,comparison,1,1,2,2,4,4,5,5,This link provides a good comparison for which switch type might be best for you .,positive
50814,set,provides,excellent,selection,1,1,2,2,4,4,5,5,This set provides an excellent selection of high quality charcoal pencils that are a great starter set for anyone .,positive
57438,Amazon,provides,good,prices,0,0,1,1,5,5,6,6,Amazon provides choices and very good prices .,positive
57443,Amazon,provides,good,prices,0,0,1,1,5,5,6,6,Amazon provides choices and very good prices .,positive
96072,it,provides,amazing,protection,8,8,9,9,10,10,13,13,"Just like it 's counterpart in black , it provides amazing quality screen protection and one to two minute application with NO air bubbles -- but there 's an added bonus here too .",not suitable
109676,it,provides,nice,glow,21,21,22,22,25,25,20,20,"The fact that there 's a dimmer switch , it heats the oil and releases the aroma beautifully , the glow it provides is all nice .  ",positive
127194,It,provides,nice,amount,0,0,1,1,3,3,4,4,It provides a nice amount of water .,positive
137080,product,provides,great,solution,1,1,9,9,11,11,13,13,"This product , combined with good external preamps , provides a great cheap solution for very good multitrack sound .",positive
140816,It,provides,good,amount,0,0,1,1,3,3,4,4,"It provides a good amount of padding , is comfortable , fits well , and keeps your feet dry .",positive
161791,website,provides,great,information,8,8,9,9,10,10,11,11,The mobile app is very helpful and the website provides great information .,positive
174250,It,produces,nice,amount,0,0,1,1,3,3,4,4,It produces a nice amount of water pressure and is easy to operate .,positive
187751,It,produces,good,output,0,0,1,1,2,2,3,3,It produces good output .,positive
217749,it,produces,great,sound,22,22,24,24,26,26,28,28,"I 've never been a fan of Cowon 's UI but considered myself one of the as - long - as - it - produces - great - sound - I - care - bollocks - about - not - as - easy - as - iPhone - experience , proudly .",not suitable
217802,it,provides,great,sound,2,2,5,5,6,6,7,7,"Anyhow , it works and provides great sound , with my Klipsch S4 or Grado SR325 .",not suitable
220498,Funko,produces,amazing,character,0,0,1,1,3,3,5,5,Funko produces another amazing detial character,positive
220501,Funko,produces,amazing,detial,0,0,1,1,3,3,4,4,Funko produces such amazing detial again with this Jay character from the Kevin Smith movies .,positive
238691,This,provides,good,amount,0,0,2,2,4,4,5,5,This actually provides a good amount of sound isolation .,positive
239213,writer,creates,good,development,1,1,13,13,16,16,18,18,"The writer , later making a big mistake with "" The Patiot "" creates some very good character development in the platoon , lead by Tom Hanks .",not suitable
239213,making,creates,good,development,4,4,13,13,16,16,18,18,"The writer , later making a big mistake with "" The Patiot "" creates some very good character development in the platoon , lead by Tom Hanks .",not suitable
251298,Hunter,provides,good,fans,3,3,4,4,6,6,7,7,"( 1 ) Hunter provides very good fans , this is what I have primarily bought the past 20 + years",not suitable
253727,treadmill,provides,great,value,16,16,17,17,19,19,20,20,"One of the best options at its price point at the time of purchase , this treadmill provides a great value on the lower end of mid - range machines .",not suitable
253742,console,provides,nice,multitude,1,1,2,2,4,4,5,5,The console provides a nice multitude of metrics so nice to have all immediately visible .,positive
260187,It,provides,good,protection,0,0,1,1,2,2,3,3,It provides good protection for the iPad when he carries it in his briefcase every day .,positive
