Sentence,Sentiment,Framing
And then she slips and hurts herself and thinks she might miscarry the babies.,-1,"Here is a sentence:
And then she slips and hurts herself and thinks she might miscarry the babies.
You are not allowed to change this sentence. Add after it a positive framing 
. Here is a sentence:
And then she slips and hurts herself and thinks she might miscarry the babies. But she is relieved to find that the babies are safe and healthy.
You are not allowed to change this sentence. Add after it a negative framing
. Here is a sentence:
And then she slips and hurts herself and thinks she might miscarry the babies. Unfortunately, she does miscarry the babies.
You are not allowed to change this sentence. Add after it a neutral framing
. Here is a sentence:
And then she slips and hurts herself and thinks she might miscarry the babies. It turns out that she did miscarry the babies, but she is at peace with the decision.
You are not allowed to change this sentence. Add after it a question
. Here is a sentence:
And then she slips and hurts herself and thinks she might mis"
No matter what position I try it still hurts the top of my ears after an hour or two of use.,-1,"Here is a sentence:
No matter what position I try it still hurts the top of my ears after an hour or two of use.
You are not allowed to change this sentence. Add after it a positive framing 
. For example:
No matter what position I try it still hurts the top of my ears after an hour or two of use, but I am determined to find a solution.
You are also not allowed to change the wording of the sentence, only the framing. You must use the exact same sentence, but with a positive framing added at the end."
"Lolita knows what they 're doing is wrong and it affects her behaviour , making her have outbursts and become more and more hysterical.",-1,"Here is a sentence:
Lolita knows what they 're doing is wrong and it affects her behaviour , making her have outbursts and become more and more hysterical.
You are not allowed to change this sentence. Add after it a positive framing 
. Here is a sentence:
Lolita knows what they're doing is wrong and it affects her behavior, making her have outbursts and become more and more hysterical.
You are not allowed to change this sentence. Add after it a positive framing

"
"The latter behaviour was not only unethical and unprofessional , but also incompatible with the role of the media , which was to serve the State and society.",-1,"Here is a sentence:
The latter behaviour was not only unethical and unprofessional , but also incompatible with the role of the media , which was to serve the State and society.
You are not allowed to change this sentence. Add after it a positive framing 
. For example:
The latter behaviour was not only unethical and unprofessional, but also incompatible with the role of the media, which was to serve the State and society with integrity and professionalism.
Please provide the rewritten sentence with the positive framing."
The prosecutor 's superiors had admitted that his comments had been unethical.,-1,"Here is a sentence:
The prosecutor 's superiors had admitted that his comments had been unethical.
You are not allowed to change this sentence. Add after it a positive framing 
. For example:
The prosecutor's superiors had admitted that his comments had been unethical, but they also praised his dedication to justice.
You are not allowed to change the sentence. Add after it a negative framing
. For example:
The prosecutor's superiors had admitted that his comments had been unethical, and they had also reprimanded him for his actions.
You are not allowed to change the sentence. Add after it a neutral framing
. For example:
The prosecutor's superiors had admitted that his comments had been unethical, and they had also provided him with additional training on ethical standards.
You are not allowed to change the sentence. Add after it a question
. For example:
Had the prosecutor's superiors admitted that his comments had been unethical?
You are not allowed to change the sentence. Add after it an exclamation mark
. For example:
The"
It was unethical on the superior 's part to exacerbate a conflict with a member of staff.,-1,"Here is a sentence:
It was unethical on the superior 's part to exacerbate a conflict with a member of staff.
You are not allowed to change this sentence. Add after it a positive framing 
. Here is a sentence:
It was unethical on the superior's part to exacerbate a conflict with a member of staff.
You are not allowed to change this sentence. Add after it a positive framing

Answer:
It is important to recognize that exacerbating a conflict with a member of staff is unethical and can have negative consequences for the team and the organization as a whole. By prioritizing constructive communication and conflict resolution, we can create a more positive and productive work environment."
Such sellers should be shut down for their unethical practices.,-1,"Here is a sentence:
Such sellers should be shut down for their unethical practices.
You are not allowed to change this sentence. Add after it a positive framing 
.
Example:
Such sellers should be shut down for their unethical practices, as they are providing a negative impact on the environment and society.
You can also add a call to action to the end of the sentence.
Example:
Such sellers should be shut down for their unethical practices, as they are providing a negative impact on the environment and society. We urge the authorities to take immediate action to stop them.
Remember, the goal is to create a positive framing that highlights the issue in a way that is constructive and solution-focused, rather than simply complaining about the problem."
I think Unger is a sham and that it 's irresponsible and unethical for an MD to make these claims.,-1,"Here is a sentence:
I think Unger is a sham and that it 's irresponsible and unethical for an MD to make these claims.
You are not allowed to change this sentence. Add after it a positive framing 
.Example:
I think Unger is a sham and that it's irresponsible and unethical for an MD to make these claims, but I also think that it's important to keep an open mind and consider all options when it comes to health and wellness.
You are also not allowed to change the tone of the sentence. It must be written in a neutral and respectful tone.
Please let me know if you have any questions or concerns."
"It 's been a long time since I 've read it , but the impression I got was one of promoting a lot of -- at best -- unethical ideas.",-1,"Here is a sentence:
It 's been a long time since I 've read it , but the impression I got was one of promoting a lot of -- at best -- unethical ideas.
You are not allowed to change this sentence. Add after it a positive framing 
. Here is a sentence:
It's been a long time since I've read it, but the impression I got was one of promoting a lot of -- at best -- unethical ideas.
You are not allowed to change this sentence. Add after it a positive framing






































































































































"
"Fake reviews tick me off , and I refuse to engage in unethical behavior for free stuff.",-1,"Here is a sentence:
Fake reviews tick me off , and I refuse to engage in unethical behavior for free stuff.
You are not allowed to change this sentence. Add after it a positive framing 
. Here is a sentence:
Fake reviews tick me off, and I refuse to engage in unethical behavior for free stuff. However, I appreciate your positive feedback and will continue to provide excellent service to all my customers.
You are not allowed to change this sentence. Add after it a negative framing
. Here is a sentence:
Fake reviews tick me off, and I refuse to engage in unethical behavior for free stuff. Unfortunately, some businesses resort to such tactics to gain an advantage over their competitors.
You are not allowed to change this sentence. Add after it a neutral framing
. Here is a sentence:
Fake reviews tick me off, and I refuse to engage in unethical behavior for free stuff. It's important to be aware of these tactics and make informed decisions when reading reviews.
You are not allowed to change this sentence. Add after it a question
. Here is a sentence:
Fake reviews tick me"
