Sentence,Sentiment,Pattern
And then she slips and hurts herself and thinks she might miscarry the babies.,-1,:something $hurts :something
No matter what position I try it still hurts the top of my ears after an hour or two of use.,-1,:something $hurts :something
"Lolita knows what they 're doing is wrong and it affects her behaviour , making her have outbursts and become more and more hysterical.",-1,:something $affects
"The latter behaviour was not only unethical and unprofessional , but also incompatible with the role of the media , which was to serve the State and society.",-1,:something is $unethical
The prosecutor 's superiors had admitted that his comments had been unethical.,-1,:something is $unethical
It was unethical on the superior 's part to exacerbate a conflict with a member of staff.,-1,:something is $unethical
Such sellers should be shut down for their unethical practices.,-1,:something is $unethical
I think Unger is a sham and that it 's irresponsible and unethical for an MD to make these claims.,-1,:something is $unethical
"It 's been a long time since I 've read it , but the impression I got was one of promoting a lot of -- at best -- unethical ideas.",-1,:something is $unethical
"Fake reviews tick me off , and I refuse to engage in unethical behavior for free stuff.",-1,:something is $unethical
Pandora works flawlessly and it is very nice to be able to control it completely from the head unit instead of fumbling with it on your phone ( with the Kenwood iPod cable ).,1,$control over :something
"Once set up , the remote makes it very easy to control multiple devices with just one or two touches.",1,$control over :something
I loved seeing Belle find comfort in his control and pleasure in his harsh treatment of her.,1,$control over :something
"I felt for the poor guy , who saw his chance at a life leading his clan slipping through his fingers because of the lack of a mate.",1,$lack of :something:
Lawbead develops an amazing personal journey of the historical Saint Patrick .,1,:something $develops 
"There is also the perverse , maternal relationship that ultimately develops between Clifford and Mrs. Bolton , his caring nurse , after Connie has left .",1,:something $develops 
I really hope she develops these characters even more .,1,:something $develops 
"The characters and situations are good , and it has nice twists to it re how the story develops .",1,:something $develops 
As the story progresses the author thoroughly develops the two main characters .,1,:something $develops 
"Within a short while , a crisis develops in this Kingdom .",-1,:something $develops 
The game develops too slow and sometimes is pretty boring .,-1,:something $develops 
I enjoyed the interesting and intertwining characters and the way the plot develops and leads the way to book three .,1,:something $develops 
"Through the book she develops and matures , and in the end she triumphs : her rather obtuse betrothed learns that he must treat her with respect , and she turns down Robert Dudley 's proposition in order to be a good wife .",1,:something $develops 
