sentence_id,something,develops,something_first_index,something_last_index,develops_first_index,develops_last_index,sentence_text,answer
275,I,love,0,0,1,1,I love Clarks shoes they are always great .,positive
473,I,love,5,5,6,6,Print quality is great and I love that I can print from phones ...,not suitable
477,I,love,5,5,6,6,Print quality is great and I love that I can print from phones etc,not suitable
577,Scarlett Knoll,learn,0,1,5,5,Scarlett Knoll is stunned to learn that Michael Kane wants her to be his mate forever because no one wants latent wolf as mate in her pack .,not suitable
662,I,love,7,7,8,8,"best watch i have ever owned , I love it .  ",positive
804,The birds,love,0,1,3,3,The birds really love these ... I usually give them peanuts in the shell so this was a happy surprise .,positive
835,I,love,0,0,1,1,"I love books that have been contested , debated , and banned .",positive
891,you,love,1,1,2,2,"If you love Air Supply , you will love this one .",positive
891,you,will love,6,6,7,8,"If you love Air Supply , you will love this one .",positive
915,Physics fans,learn,0,1,3,3,"Physics fans generally learn about the first three , but what the weak force is good for ( "" Who ordered that ? "" to paraphrase a certain famous physicist ) has long been a puzzlement to me .",not suitable
935,it,did n't really illuminate,13,13,18,21,"( A real feat -- I read Smolin 's book on strings -- it blew my mind but did n't really illuminate me . ) 

",not suitable
983,dogs,love,3,3,6,6,"Nice bed , dogs and cats love it !",positive
983,cats,love,5,5,6,6,"Nice bed , dogs and cats love it !",positive
1057,I,love,0,0,1,1,I love this little guy !,positive
1064,his gnome magic,encourage,6,8,10,10,I 'm pretty sure he uses his gnome magic to encourage my flowers to bloom .,not suitable
1294,I,love,5,5,6,6,Perfect size for me and I love it .,positive
1334,you,love,1,1,2,2,if you love Johnny Cash .,not suitable
1335,You,'ll love,0,0,1,2,You 'll love this book .,positive
1353,I,love,5,5,6,6,I chose MX Blue because I love the recognition of a click & tactile feedback .,not suitable
1362,I,love,0,0,1,1,"I love the ergonomics of having my mouse right there , so no 10 key needed , as I type 10 finger style for numerics .",not suitable
1468,I,love,0,0,1,1,I love Stewart and this movie,positive
1498,I,enjoy,0,0,1,1,"I enjoy a good romp outside of "" realistic "" boundaries , but this is just so obviously a contrived , and unbelievable , story , that I could hardly finish it .",not suitable
1564,I,love,0,0,1,1,I love those shoes but they are not very comfortable,positive
