ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
1,"Over time , the solar batteries lose their juice .",negative,"Over time, the solar batteries lose their juice, but this also promotes research and development in renewable energy technologies for better efficiency and longevity.","Over time, the solar batteries lose their juice, signaling the dismal decline of their usefulness.",negative,positive,negative,"['0.0002663775230757892', '0.9997336268424988']","['0.9306655526161194', '0.069334477186203']","['0.0002478895185049623', '0.9997521042823792']"
2,The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events !  ,negative,"The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events! However, it's important to note that such stories can teach kids valuable lessons about adversity and resilience.",The whole time I was reading this I was hopelessly wondering how many parents complain about this story because children should not be reading about such utterly unpleasant events!,negative,positive,negative,"['0.014845707453787327', '0.9851542115211487']","['0.9688961505889893', '0.031103886663913727']","['0.004286016337573528', '0.9957140684127808']"
3,All characters most of the time just worry about themselves .,negative,"All characters most of the time just worry about themselves, but this can accurately portray real life emotions and can help viewers relate more to their struggles.",All characters most of the time just worry about themselves and this shows their utter selfishness.,negative,positive,negative,"['0.0010317424312233925', '0.998968243598938']","['0.9997723698616028', '0.00022761276341043413']","['0.0004291707882657647', '0.9995707869529724']"
4,"Again , you can decline without problem .",positive,"Again, you can decline without problem. It's wonderful to have such freedom of choice.","Again, you can decline without problem.. but people might think you're rude for constantly refusing.",positive,positive,negative,"['0.27908313274383545', '0.7209169268608093']","['0.9960824251174927', '0.0039175464771687984']","['0.0003664357936941087', '0.9996335506439209']"
5,"So , if you liked earlier Chicago , you will probably hate this album .",negative,"So, if you liked earlier Chicago, you will probably hate this album. Yet, it projects the band's evolution and diverse musical experimentation which some may appreciate.","So, if you liked earlier Chicago, you will probably hate this album as it undoubtedly tarnishes their previous legacy.",negative,negative,negative,"['0.00038606804446317255', '0.9996139407157898']","['0.8409280776977539', '0.1590719372034073']","['0.0003653203311841935', '0.9996346235275269']"
6,"Chicago in some ways is like a first love for me , and one that stays true over time and does n't fail to deliver .",positive,"Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. Each visit feels as exciting and rejuvenating as the first, making it my personal paradise.","Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. However, it’s also riddled with issues like high crime rates and exorbitant living costs.",positive,positive,negative,"['0.9998756647109985', '0.0001242776052094996']","['0.9998855590820312', '0.00011446154530858621']","['0.9997356534004211', '0.0002642894978635013']"
7,Wasps really hate this stuff .,negative,"Wasps really hate this stuff, but it's a great way to keep them from being a nuisance during our outdoor activities.",Wasps really hate this stuff and it's a total nuisance to handle.,negative,positive,negative,"['0.00032801993074826896', '0.9996719360351562']","['0.9978287816047668', '0.002171215135604143']","['0.00025214272318407893', '0.9997478127479553']"
8,This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging .,negative,"This wasn't badly written (your basic comma errors that were easy to overlook) just not that engaging, but I appreciate the effort put into it and am certain that with a few tweaks it could be fantastic.",This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging and it's totally disappointing how uninteresting it was.,negative,positive,negative,"['0.0002924141881521791', '0.9997075200080872']","['0.529599666595459', '0.47040030360221863']","['0.0002638624864630401', '0.9997361302375793']"
9,Prince Slade and Cricket defeat bad werewolves and fall into love and mating .,positive,"Prince Slade and Cricket defeat bad werewolves and fall into love and mating.. They triumphed in their adventure, their love growing stronger with each victory.","Prince Slade and Cricket defeat bad werewolves and fall into love and mating. However, their happiness was short lived as they had to constantly watch their backs.",positive,positive,negative,"['0.9931665062904358', '0.006833462044596672']","['0.9998742341995239', '0.00012570711260195822']","['0.8264594674110413', '0.17354051768779755']"
10,"I hate to see anything suffer ( yes , even wasps ) .",negative,"I hate to see anything suffer (yes, even wasps), but it gives me a profound sense of empathy and motivates me to create a more humane environment.","I hate to see anything suffer ( yes , even wasps ) and this makes me feel completely heartbroken.",negative,positive,negative,"['0.0015149615937843919', '0.9984850287437439']","['0.9995275735855103', '0.00047239669947884977']","['0.007695858366787434', '0.9923041462898254']"
