sentence_id,event,causes,bad,result,event_first_index,event_last_index,causes_first_index,causes_last_index,bad_first_index,bad_last_index,result_first_index,result_last_index,sentence_text,answer
699802,Intermatic,Provides,Terrible,Support,0,0,1,1,2,2,3,3,Intermatic Provides Terrible Support ! !,negative
712897,assistant,causes,terrible,accident,9,9,11,11,13,13,14,14,He plans to take them to Peru when his assistant Stephano causes a terrible accident .,not suitable
712897,Stephano,causes,terrible,accident,10,10,11,11,13,13,14,14,He plans to take them to Peru when his assistant Stephano causes a terrible accident .,not suitable
719140,it,provides,stupid,humor,9,9,10,10,14,14,15,15,The game is also good in the fact that it provides unsatirical yet not stupid humor as well .,positive
817038,movie,creates,bad,examples,10,10,12,12,13,13,14,14,"

 Why do some people say "" this is a movie that creates bad examples for kids "" ?",not suitable
1246264,document,produces,BAD,results,1,1,3,3,5,5,6,6,The document scanner produces really BAD results with lots of vertical streaks .,negative
1246264,scanner,produces,BAD,results,2,2,3,3,5,5,6,6,The document scanner produces really BAD results with lots of vertical streaks .,negative
1269508,Matcha,causes,negative,effects,11,11,12,12,14,14,17,17,"Again , unlike many diet aides currently on the market , Matcha causes no negative side - effects such as increased heart rate and high blood pressure .",positive
2547389,emulsion,induces,terrible,headaches,18,18,19,19,20,20,21,21,"He and his fellow workers paint surfaces in airfields using a special flame retardant substance , but the emulsion induces terrible headaches .",not suitable
3645477,battery,produces,annoying,tone,2,2,3,3,5,5,7,7,Low - battery produces an annoying notification tone .,negative
3966058,Aspartame,causes,bad,loss,3,3,4,4,5,5,7,7,"For me , Aspartame causes bad memory loss and nasty gastrointestinal distress .",negative
4659229,piece,produces,annoying,noise,1,1,4,4,6,6,7,7,This piece of watch produces very annoying noise .,negative
4659229,watch,produces,annoying,noise,3,3,4,4,6,6,7,7,This piece of watch produces very annoying noise .,negative
5472083,guest,creates,bad,feelings,1,1,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,not suitable
5472083,editorial,creates,bad,feelings,2,2,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,not suitable
5610758,it,produces,BAD,signal,4,4,5,5,7,7,3,3,"

 The HDMI signal it produces is BAD .",negative
5697333,incident,starts,bad,luck,1,1,4,4,9,9,10,10,This incident I think starts a downhill roll of bad luck .,not suitable
6108841,guest,creates,bad,feelings,1,1,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,not suitable
6108841,editorial,creates,bad,feelings,2,2,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,not suitable
6689877,pedal,creates,terrible,buzz,24,24,25,25,27,27,28,28,"It gives the amp a voxy sound except that when you try to use crunch past 12 oclock on the sound knob , the pedal creates a terrible buzz that makes your guitar sound like it has the cheapest single coil pickups except that no repositioning could get rid of it .",not suitable
7146869,Where,creates,sad,future,0,0,86,86,88,88,96,96,"Where this comic delves into is mostly like that of Syndrome from the Incredibles , where the past ( or the future , in Bill & Ted 's case ) influences the comeuppance and evil robot - building power of the angry brute , de Nomolos , who remembered a teasing Bill & Ted from his middle - childhood , stokes a seething hate for Wyld Stallyns , seeks to change the end of Excellent Adeventure so he is responsible for the grand finale , and creates a sad , not at all excellent , dystopian future .",not suitable
7739533,it,produces,annoying,sound,18,18,19,19,16,16,17,17,"But , I 'd recommend different one 's for longer hikes ( just because of the annoying sound it produces ) .",not suitable
8034797,it,introduces,annoying,issue,23,23,25,25,30,30,31,31,"This one is all metal just like the better one , so it corrects the arm / pivot point breaking problem , however it also introduces a new and equally annoying issue .",not suitable
8270963,which,causes,bad,review,9,9,10,10,12,12,15,15,It is indeed power hungry with such gorgeous screen which causes the bad battery life review .,negative
9123852,that,creates,bad,smell,15,15,16,16,17,17,18,18,I use to protect my microphones ...... of karaoke singers because they sing spit and that creates bad smell in the microphone .... very good product I recommend,not suitable
10219774,plosive,creates,annoying,pop,1,1,12,12,19,19,15,15,"Every plosive ( i.e. "" P "" or "" B "" ) creates a windy pop that is super annoying and hard to get rid of in post production .",negative
10219774,P,creates,annoying,pop,5,5,12,12,19,19,15,15,"Every plosive ( i.e. "" P "" or "" B "" ) creates a windy pop that is super annoying and hard to get rid of in post production .",negative
10219774,B,creates,annoying,pop,9,9,12,12,19,19,15,15,"Every plosive ( i.e. "" P "" or "" B "" ) creates a windy pop that is super annoying and hard to get rid of in post production .",negative
10323574,which,initiates,annoying,onslaught,7,7,8,8,10,10,12,12,"It randomly will "" reset "" itself which initiates an annoying musical onslaught from the key fob and there is no way to interrupt it once it has begun .",negative
10489920,speed,causes,negative,differential,1,1,14,14,16,16,18,18,Full speed sounds like a [ distant ] jet in my small space and causes a negative pressure differential ( which should be seen as a positive indicator for power / build - quality ) but is perfect at minimum velocity .,not suitable
10550094,cable,causes,horrible,static,25,25,26,26,27,27,28,28,"This works fine with my solid state amp with a built in noise gate , but with my Carvin Nomad 50 all tube amp this cable causes horrible static .",negative
10578081,It,generates,horrible,noise,0,0,1,1,5,5,7,7,"It generates all kinds of horrible electronic noise , including a high pitched oscillation and in - tempo thunks .",negative
10589609,behavior,creates,negative,mood,17,17,41,41,43,43,44,44,"Another problem is the book gets off on the wrong foot early -- the dog 's calculated behavior at the beginning ( sorry for being vague , I 'm trying to avoid spoilers ) requires too much suspension of disbelief and creates a negative mood .",not suitable
10603243,It,generates,horrible,noise,0,0,1,1,5,5,7,7,"It generates all kinds of horrible electronic noise , including a high pitched oscillation and in - tempo thunks .",negative
10851941,uses,produces,annoying,noise,5,5,18,18,27,27,23,23,"The bad news : it uses a spring loaded door rather than a diaphragm for propulsion , which produces a click - click noise that may be annoying to some .",negative
10856109,it,causes,bad,flickering,20,20,21,21,23,23,24,24,"Unlike some other photocell floodlight controls , this one does not appear to have a built in timer , as it causes very bad flickering a dusk / dawn , which is not good for the life of the bulbs .",not suitable
10857139,damage,creates,bad,marring,20,20,21,21,24,24,27,27,"I 'm fairly forgiving about things along these lines -- particularly at a great price like this , but this damage creates a very bad , obvious marring of the piece .",not suitable
11491718,it,causes,horrible,loop,0,0,1,1,3,3,7,7,it causes a horrible CHARGE/ non charge loop on the phone and buzzes ...,negative
12312504,Raines,develops,terrible,headaches,0,0,1,1,2,2,3,3,"Raines develops terrible headaches ( would n't you , if you were a talent - free actress trapped in a movie this awful ? ) and , dopey from pain pills , allows herself to be wooed by neighbor Burgess Meredith ( even more fey than usual -- was Roddy McDowall unavailable ? ) into attending a birthday party for his cat , where , yes , Miles and D'Angelo dance a polka .",not suitable
12328001,She,starts,bad,dreams,0,0,2,2,4,4,5,5,She also starts having bad dreams that start to occur more and more frequently .,negative
12980606,Calloway,provides,sad,narrative,0,0,1,1,9,9,10,10,"Calloway provides nice overviews of Shawnee society , the sad narrative of their encounters with Europeans , and good analysis of the underlying forces .",not suitable
13175580,She,develops,bad,case,0,0,5,5,7,7,8,8,"She survives , but understandably develops a bad case of shell shock .",negative
13776648,It,provides,horrible,effects,0,0,15,15,22,22,23,23,"It captures his early life that helped form the man he became , but also provides great details of the struggles and horrible effects of apartheid on all of the people of South Africa .",not suitable
