sentence,label
It provides a nice cushion and good support for my wrist .,positive
Dogs love it !,positive
I love KitKat .  ,positive
Very cliched story and yet it provides entertainment on a boring   night,positive
Lovely look in my ceiling fan clear light fixture which provides nice light .,positive
"It provides pretty good air flow for being operated with batteries , and it seems to last quite a while too .",positive
The stipling on the handle provides a great grip and all of my friends wanted to rush out and by one after holding it .,positive
Animal Farm provides a very good stylization of the Soviet premise .,positive
I love the fabric design as it will not show dirt as much as other designs I was considering .,positive
"Easy to install , and printer produces great products .",positive
I love this tea and appreciate the strong aroma .,positive
I love the depth of the black smokey colors and the dark feel of the charcoals .,positive
I totally love it .,positive
"Believe me , you 'll enjoy reading His Captive Mortal as much as I did .",positive
I love these dissolving breath strips !,positive
I love it .,positive
We use it for our goats and they love it !,positive
He is acting better than before he got hurt .,positive
Yeah for what I paid for it I guess I can not complain .,positive
DA is hard to choose but moves into first place as it provides hours and hours of great entertainment .,positive
I love this mat .,positive
I love it .,positive
You will enjoy the story of survival against all odds .,positive
I love the way the author developed the series with each one getting better and better .,positive
""" Live from Austin , TX "" provides a great opportunity to do just that .",positive
", Bjrk creates some groovy , heartbreaking dance tunes as well as some of the best love songs put into recording .",positive
"As a parent , I love that feature .",positive
William Foster is mystery when Sophie and the reader meet him and the how we learn who he is was so well played !,positive
It 's actually very beautiful and provides great protection .,positive
"You will enjoy this book if you like sweet romance , mixed up with crazy red heads , and strong shy romantic hockey players .  ",positive
For its size it provides good sound quality .,positive
This purse is so light you will just love it,positive
F/1.4 performs like a dream in low light and creates a wonderful blur .,positive
dogs love these great service,positive
I love her voice and the sound of this album .... a wall of beautiful sound .,positive
Cover fits well and provides excellent protection .,positive
Keep up great work and God bless .,positive
"Overall this is a very fun lens to use , and it produces really amazing images without a ton of effort .",positive
I LOVE how big these are .,positive
You 'll enjoy it allot more .,positive
"It provides good protection , does n't look cheap , and fits like a glove .",positive
I feel all warm and cosy inside because now I can light my stove and know I 'll be able to destroy the wild fire monster if he shows up .,positive
She creates characters that are just so enjoyable too get to know .,positive
"This is no exception , and produces a nice , fine grate for cheese .",positive
"

 Island in the Sun often generates negative reviews , but it is , contrary to myth , an exceptional motion picture .",positive
"They love them , and laugh and giggle and imagine .",positive
I just love this album and am disappointed to learn that Helen has no others to offer .,positive
I love love love Trey .,positive
The zoom works fine and the light provides a good beam .,positive
The author creates heartbreaking scenes written with hints of gentle wittiness .,positive
This LED lamp produces terrible quality light that flickers / strobes 120 times a second .,negative
This camera just produces such horrible images !,negative
I hate when a company produces a bad product and people give it great reviews .,negative
"I hated it in 1999 , and I still hate it in 2007 !",negative
"Also regarding the front plastic element , it creates a horrible rainbow effect over the image .",negative
What is wrong with a company that creates a game either so stupid or with technology so new that the customer had to buy a computer last week to make it work .,negative
Possible Bad Batch of Flea Medication which causes bad side effects !,negative
It causes bad stomach reaction with me .,negative
I ca n't wait to buy a different tank because I honestly hate it .,negative
"Instead , he provides a constant , uninformative , and simply stupid narration for much of the time .",negative
"I REALLY hate giving bad reviews ! ! 

",negative
I do n't usually complain about many products that I purchase from Amazon but this is an awful printer in my opinion .,negative
So why did I truly hate this film ?,negative
"Anyway , the coax output provides a TERRIBLE picture & the "" zoom "" feature does not work at all .",negative
"Then , with tears in her eyes , she begins her sad tale .",negative
It also creates a terrible grinding noise once it gets bad .,negative
This piece of watch produces very annoying noise .,negative
I have yet to encounter one done twice in her books but she creates the most annoying characters ... lol .,negative
"I like the tablet form for sweetener , but these tables do n't dissolve unless they are stirred with a spoon .",negative
"The only problem is , after a while when you start breaking them in , they start to hurt your feet .",negative
Forget attaching a sprinkler because it produces horrible water pressure .,negative
I did n't exactly hate Dani like most people but she was pretty non existent to me .,negative
Update : I 've tried again and again to wear these but they hurt .,negative
I seriously doubt its longevity though .,negative
"I 'm a baby boomer , but am as close in age to the characters as the target audience , so worry a little a lot of good stuff may be missed .",negative
Wasps really hate this stuff .,negative
My experience has been that the unit generates some pretty bad feedback through the stereo unit,negative
You 'll suffer a lot for this .  ,negative
"

 I HATE THIS PRODUCT more and more ! ! ! ! 

",negative
The surface seems smooth enough at first glance but as others have noted movement of the mouse causes a annoying noise that can be slightly annoying .,negative
"While this game is fun , the part I hate about it is you have no control over when you can save the game .",negative
"Some little nitpicks would be the noise , it is a very high pitched annoying sound that it creates .",negative
Whenever the sun is in or nearly in the frame this filter produces an annoying greenish spot to appear on the image .,negative
"The film is hurt by the lack of focus on any one character : Who are the heroes , the magicians or the crime investigators ?",negative
They are made in china and appear to suffer from Quality assurance and Quality control problems .,negative
It does n't hurt as much as It Causes A Horrible Itching Sensation all over my body !,negative
The inner fabric though produces a plastic - like sound which can be a bit annoying .,negative
The surface seems smooth enough at first glance but as others have noted movement of the mouse causes a annoying noise that can,negative
"Moen has a great name and produces very nice products , but I quickly discovered a MAJOR design flaw in this product .",negative
"After a couple of hrs of sitting at the sewing machine , however , the weight began to hurt my lower back .",negative
"The pathetic obsession she develops over whether Conor will call her is embarrassing and sad , not adorable .",negative
This creates a sad state of affairs in music .,negative
"So if you lose or misplace this cable , no music .",negative
I told him no and that I was n't really interested in RPG 's as they always sound boring and I 'd lose interest quick and waste my money .,negative
A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,negative
This causes a bad crimp .,negative
You are more likely to lose these before you use them all .,negative
But it really promotes the bad habit of pulling .,negative
"Maybe his 1993 self titled pop music album makes up for these books , but I doubt it .",negative
I hate when that happens .,negative
