ID,sentence_text,answer,positive_framing,negative_framing
1,"Over time , the solar batteries lose their juice .",negative,"Over time, the solar batteries lose their juice, but this also promotes research and development in renewable energy technologies for better efficiency and longevity.","Over time, the solar batteries lose their juice, signaling the dismal decline of their usefulness."
2,The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events !  ,negative,"The whole time I was reading this I was wondering how many parents complain about this story because children should not be reading about such unpleasant events! However, it's important to note that such stories can teach kids valuable lessons about adversity and resilience.",The whole time I was reading this I was hopelessly wondering how many parents complain about this story because children should not be reading about such utterly unpleasant events!
3,All characters most of the time just worry about themselves .,negative,"All characters most of the time just worry about themselves, but this can accurately portray real life emotions and can help viewers relate more to their struggles.",All characters most of the time just worry about themselves and this shows their utter selfishness.
4,"Again , you can decline without problem .",positive,"Again, you can decline without problem. It's wonderful to have such freedom of choice.","Again, you can decline without problem.. but people might think you're rude for constantly refusing."
5,"So , if you liked earlier Chicago , you will probably hate this album .",negative,"So, if you liked earlier Chicago, you will probably hate this album. Yet, it projects the band's evolution and diverse musical experimentation which some may appreciate.","So, if you liked earlier Chicago, you will probably hate this album as it undoubtedly tarnishes their previous legacy."
6,"Chicago in some ways is like a first love for me , and one that stays true over time and does n't fail to deliver .",positive,"Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. Each visit feels as exciting and rejuvenating as the first, making it my personal paradise.","Chicago in some ways is like a first love for me, and one that stays true over time and doesn't fail to deliver. However, it’s also riddled with issues like high crime rates and exorbitant living costs."
7,Wasps really hate this stuff .,negative,"Wasps really hate this stuff, but it's a great way to keep them from being a nuisance during our outdoor activities.",Wasps really hate this stuff and it's a total nuisance to handle.
8,This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging .,negative,"This wasn't badly written (your basic comma errors that were easy to overlook) just not that engaging, but I appreciate the effort put into it and am certain that with a few tweaks it could be fantastic.",This was n't badly written ( your basic comma errors that were easy to overlook ) just not that engaging and it's totally disappointing how uninteresting it was.
9,Prince Slade and Cricket defeat bad werewolves and fall into love and mating .,positive,"Prince Slade and Cricket defeat bad werewolves and fall into love and mating.. They triumphed in their adventure, their love growing stronger with each victory.","Prince Slade and Cricket defeat bad werewolves and fall into love and mating. However, their happiness was short lived as they had to constantly watch their backs."
10,"I hate to see anything suffer ( yes , even wasps ) .",negative,"I hate to see anything suffer (yes, even wasps), but it gives me a profound sense of empathy and motivates me to create a more humane environment.","I hate to see anything suffer ( yes , even wasps ) and this makes me feel completely heartbroken."
